,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
0,250.421546044466,36.4605947977477,0.0676503720069822,0.18885317,-4.36259373784694,-1.97415949565567,14.359328,13.631192,12.455983
1,250.420820941576,36.4597466356314,0.0779157471043229,0.059505545,-3.00133250899208,-2.26644299562281,13.140834,13.360564,12.213881
2,250.42343770832,36.4607673652012,0.105301848269122,0.066738665,-3.20501536995006,-2.24111679547013,14.208615,14.039993,13.086994
3,250.424704796227,36.4613436995492,0.107613110498938,0.04012652,-3.4822118168381,-2.33907556156383,14.379278,14.220829,13.276964
4,250.418216430214,36.4589489831031,0.173237191121853,0.05379849,-2.70805871538533,-2.19749582319736,13.706083,13.225296,11.891946
5,250.419116663742,36.4624112155816,0.251000807976796,0.4823895,-4.23951524036845,-2.37735758520609,16.319878,,
6,250.418455868192,36.4621895857318,0.164309128339257,0.5887042,2.45920582312875,-0.292621340086111,16.658087,,
7,250.417728118535,36.4587248909527,0.203315032497064,0.04108284,-2.95355012654456,-3.5289935555782,11.748719,12.374492,10.837765
8,250.42132658513,36.4563441681023,0.0903104097717066,0.013060662,-3.19541536523269,-2.78853224002127,12.271118,12.720703,11.411966
9,250.419110381976,36.4569944149222,0.186289566288218,0.07716042,-3.24731411484492,-3.42519921265361,14.649091,14.61304,13.636806
10,250.418896628366,36.462930278892,0.140540356463576,0.020291675,-3.19707798255362,-2.35638327437632,13.006864,13.401968,12.2183075
11,250.426252703879,36.4578789582388,0.193743755854885,0.042498715,-3.10363073207346,-2.8180826237537,14.43086,14.554488,13.53732
12,250.426065197677,36.462520940832,0.183217797388284,0.06571133,-2.66415768121859,-2.14098161466785,13.786696,13.840341,12.768732
13,250.422715843966,36.46429045597,0.131981333396525,0.012521856,-3.24969599569619,-2.60837715379052,12.32523,12.838759,11.491734
14,250.427170450082,36.458478239064,0.0629013063324856,0.017698845,-2.88162282573982,-2.59165253790279,12.907903,13.314094,12.082461
15,250.416516305274,36.459140970089,0.169477833789692,0.02229657,-3.24152612800902,-2.65837302071192,13.450929,13.616662,12.616509
16,250.421134516157,36.4644488652658,0.0936905542563784,0.12967618,-2.39981337447586,-3.43857899387301,15.995024,14.988559,14.161607
17,250.421266269971,36.4552818956198,0.211877424318517,0.38747704,-6.07505304951971,0.224579031021869,16.513887,15.231259,14.45845
18,250.416770481874,36.4574306877404,0.0734757627230729,0.05189839,-2.76030193553855,-1.45147995280456,14.528272,14.195844,13.186033
19,250.426971164885,36.4629715609924,0.218070752492753,0.11355598,-3.82588096670823,-4.21959441426572,15.2944,14.421973,13.506372
20,250.423109044661,36.4649205376853,0.177004881144617,0.13183378,-2.35521878301614,-4.03811048204811,14.608627,14.457076,13.487951
21,250.423783096196,36.4551856674904,0.0781681290651157,0.02416751,-2.78280118822518,-2.84837287896918,12.428203,12.843149,11.567369
22,250.427880347824,36.4577196771826,0.238440561155928,0.28687322,-2.37388413776167,-2.76671542005936,16.472857,15.151391,14.368607
23,250.421141694164,36.4652178183205,0.15264482167824,0.01574025,-2.97570113259752,-2.70145025620592,12.375143,12.852253,11.581061
24,250.415976686315,36.4577853800373,0.138645320981821,0.017151756,-3.01759715972509,-2.77105618180354,13.533611,13.776935,12.650687
25,250.426921321819,36.4562060685525,0.15528476454432,0.041656643,-3.25561657784352,-2.40648579029785,14.189003,14.200816,13.240045
