2.403,-0.637,-0.033,-1.382
2.403,-0.551,0.043,-1.287
2.404,-0.466,0.117,-1.194
2.404,-0.38,0.193,-1.101
2.404,-0.295,0.269,-1.008
2.404,-0.21,0.344,-0.915
2.405,-0.124,0.42,-0.822
2.405,-0.039,0.496,-0.73
2.405,0.044,0.572,-0.64
2.406,0.147,0.665,-0.529
2.407,0.25,0.758,-0.419
2.408,0.338,0.838,-0.323
2.41,0.435,0.923,-0.217
2.411,0.457,0.942,-0.192
2.444,0.348,0.834,-0.301
2.475,0.242,0.728,-0.407
2.5,0.15,0.638,-0.5
2.521,0.07,0.559,-0.582
2.538,0.003,0.494,-0.651
2.556,-0.073,0.422,-0.73
2.556,-0.076,0.419,-0.733
2.573,-0.162,0.341,-0.826
2.584,-0.253,0.262,-0.926
2.586,-0.316,0.208,-0.997
2.587,-0.393,0.142,-1.084
2.588,-0.508,0.044,-1.211
2.588,-0.61,-0.044,-1.325
2.588,-0.698,-0.121,-1.421
2.588,-0.711,-0.132,-1.435
2.588,-0.782,-0.194,-1.513
2.589,-0.844,-0.247,-1.582
2.589,-0.88,-0.279,-1.621
2.589,-0.821,-0.228,-1.556
2.591,-0.793,-0.203,-1.525
2.592,-0.83,-0.235,-1.566
2.593,-0.894,-0.291,-1.637
2.594,-0.971,-0.358,-1.722
2.594,-1.051,-0.427,-1.81
2.595,-1.132,-0.496,-1.898
2.595,-1.215,-0.569,-1.989
2.596,-1.297,-0.64,-2.078
2.596,-1.378,-0.71,-2.167
2.597,-1.459,-0.78,-2.255
2.597,-1.54,-0.851,-2.344
2.598,-1.619,-0.92,-2.431
2.598,-1.697,-0.987,-2.516
2.598,-1.775,-1.054,-2.601
2.598,-1.849,-1.117,-2.683
2.599,-1.922,-1.176,-2.766
2.599,-1.994,-1.232,-2.847
2.599,-2.062,-1.284,-2.926
2.599,-2.128,-1.334,-3.002
2.599,-2.192,-1.383,-3.076
2.6,-2.252,-1.424,-3.146
2.6,-2.309,-1.463,-3.215
2.6,-2.367,-1.502,-3.283
2.6,-2.428,-1.54,-3.358
2.6,-2.555,-1.609,-3.516
2.6,-2.621,-1.629,-3.606
2.6,-2.666,-1.639,-3.668
2.6,-2.709,-1.646,-3.727
2.601,-2.742,-1.635,-3.78
2.601,-2.775,-1.62,-3.832
2.601,-2.806,-1.602,-3.884
2.601,-2.831,-1.555,-3.935
2.601,-2.849,-1.52,-3.971
2.601,-2.868,-1.448,-4.021
2.601,-2.877,-1.356,-4.061
2.601,-2.883,-1.285,-4.089
2.601,-2.882,-1.232,-4.102
2.601,-2.881,-1.226,-4.103
2.59,-2.712,-0.721,-4.016
2.59,-2.827,-1.388,-3.985
2.59,-2.824,-1.413,-3.974
2.59,-2.698,-1.636,-3.716
2.589,-2.614,-1.643,-3.588
2.589,-2.67,-1.637,-3.675
2.589,-2.772,-1.547,-3.858
2.589,-2.824,-1.313,-4.004
2.589,-2.82,-1.053,-4.071
2.588,-2.8,-0.881,-4.088
2.588,-2.779,-0.787,-4.083
2.587,-2.764,-0.731,-4.077
2.587,-2.792,-0.887,-4.076
2.587,-2.808,-1.263,-3.998
2.587,-2.716,-1.569,-3.771
2.587,-2.648,-1.615,-3.652
2.587,-2.697,-1.593,-3.734
2.587,-2.783,-1.461,-3.903
2.586,-2.821,-1.198,-4.034
2.586,-2.809,-0.929,-4.089
2.585,-2.781,-0.754,-4.093
2.585,-2.773,-0.686,-4.097
2.584,-2.773,-0.66,-4.102
2.584,-2.796,-0.793,-4.103
2.584,-2.839,-1.213,-4.053
2.584,-2.772,-1.576,-3.847
