0.694,-0.65,-0.2,-1.277
0.693,-0.557,-0.117,-1.173
0.69,-0.572,-0.13,-1.19
0.688,-0.659,-0.206,-1.287
0.685,-0.75,-0.287,-1.387
0.681,-0.845,-0.37,-1.491
0.677,-0.939,-0.452,-1.596
0.672,-1.03,-0.531,-1.697
0.666,-1.121,-0.61,-1.798
0.66,-1.21,-0.685,-1.898
0.653,-1.297,-0.758,-1.995
0.645,-1.383,-0.829,-2.092
0.635,-1.467,-0.897,-2.188
0.623,-1.538,-0.948,-2.275
0.616,-1.569,-0.964,-2.316
0.599,-1.648,-1.028,-2.406
0.578,-1.736,-1.108,-2.5
0.549,-1.844,-1.219,-2.605
0.521,-1.964,-1.37,-2.702
0.501,-2.042,-1.507,-2.736
0.545,30.593,32.264,29.373
