,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4743,119.90022281113635,-61.351823310589076,2.208682712631453,0.14307964,-5.062500536415621,11.514004111561583,18.797121,20.579924,17.533596
4744,119.15866154698669,-60.40301188397021,2.5323117134311346,1.1898254,-1.5496761682783586,1.0287672578336686,20.860817,21.183357,19.749388
4745,119.4965895732951,-61.37385062154888,1.2988571648897844,0.15052372,-9.85186305178528,6.945016084389345,18.778872,20.144083,17.677279
4746,118.60980038739555,-60.68558750024036,1.015844494060929,0.06424043,-6.170217018141464,5.267781690304407,17.546696,18.346128,16.696875
4747,118.54850256343387,-60.79997050058628,2.432907914468095,0.012377577,-4.793071934370298,11.442369968613532,13.700119,14.2012615,13.026184
4748,120.07848912707998,-60.42006030663556,2.445133249076249,0.018981298,-4.729022064533031,11.100775505003359,14.960618,15.60733,14.187652
4749,119.6964823213686,-61.37273434507051,1.7021436331709805,0.40561014,0.72817131244634,7.542984085026849,20.252516,21.184612,19.023571
4750,120.44695856363472,-60.5836320733934,2.5966530373268126,0.0586354,-5.414616123079971,11.441944615991567,17.28426,18.536425,16.188326
4751,120.60168725872403,-60.757491909739805,1.4226495202034508,0.12170198,-13.156592873914224,13.691439235015164,18.500423,19.708075,17.409658
4752,120.05835738978567,-61.320893833900996,1.1145508587835027,0.1503909,-20.154896407796052,35.68959609723012,18.968346,20.134398,17.922895
4753,120.62809334872586,-60.874423345645205,2.122115159043289,0.8339706,-2.1153875624590235,-16.310863749110176,20.751144,21.602196,19.36191
4754,120.32655330127072,-60.51149576267849,1.2719709393806153,0.9560952,-1.0016026363050246,6.942033208778601,20.674385,20.901773,19.902382
4755,118.60235842240667,-60.69449569059295,1.8758904388585482,0.010514866,0.1609269564090603,-5.746312945368097,11.799587,12.065143,11.368813
4756,120.49558583601714,-60.62200539676229,1.0889980902001535,0.52957547,-2.0433623934472283,7.2454106980802155,20.425188,21.294233,19.201145
4757,118.94660003302849,-61.27215857824376,1.03627646698265,0.3950044,-13.40784862409064,6.643848079966328,20.107977,21.207468,18.978231
4758,120.02228680437113,-61.329460034003716,1.1423024256476908,0.11256873,2.2636730704858032,10.523597373205348,18.485464,19.510914,17.485867
4759,118.85452905624992,-61.2339248938728,1.1448001345117853,0.017893357,0.21668244272328918,-4.127060938146507,14.503273,14.92228,13.908217
4760,119.72084827463217,-61.371515214593764,2.277712830368519,1.0509518,0.5464372575158536,7.552399052669188,20.823652,22.516134,19.878922
4761,118.54927238099562,-60.795309872345676,1.2431890217048573,0.23183905,5.156274249493106,1.9787350183224293,18.98008,,
4762,118.66958828438041,-60.622517948591856,1.5649093247409278,0.5974787,-6.166153957508305,6.266555457251778,20.535353,21.144432,19.512857
4763,118.68657224874326,-61.13192964950264,2.148556735795452,0.07927338,-0.8784327923783408,27.348001891200227,17.762232,19.164946,16.668806
4764,120.47720476868355,-61.13382877157825,1.7519547985811612,0.11081194,-2.9337077054781657,18.257798034933714,18.321243,19.685837,17.21615
4765,120.24665956456448,-60.47523637338217,1.8197674910190973,0.12834203,-17.684520427735613,22.423406797802432,18.588858,20.13759,17.451078
4766,119.58309156311051,-61.37608514417279,1.3126430801771158,0.55146974,-2.24303778079162,3.8631191766781368,20.375591,20.995176,19.801964
4767,120.45640727253287,-61.149825863302205,1.1492313122090712,0.7023438,-6.430123638180808,11.69492185202702,20.66271,21.205748,19.448965
4768,118.77614693029521,-60.54529639970352,1.652359330323978,0.72705406,-1.5309579982976813,-2.0011653543238217,20.212578,,
4769,120.03026922055939,-60.40737947139787,1.3107240417076949,0.3393345,-8.468156609793596,16.960844207145527,20.03804,21.069744,18.881756
4770,120.32811575834906,-61.22650429822949,2.4070868026560786,0.09062218,-4.6909587282478915,11.197429810725865,18.01858,19.475077,16.84746
4771,118.6616852787936,-61.111521541680716,3.23021437491753,0.69151276,-3.8663709721325685,10.916951905451038,20.603325,21.454262,19.366184
4772,119.2906607912864,-61.3564995361832,1.2131185621273102,0.25445965,0.3875434802822485,1.8548827638593774,19.551662,21.116398,18.392916
4773,120.08529909303127,-61.31488362979075,2.517116708263715,0.090893015,0.986965361061058,-27.82840155189642,18.107342,19.626701,16.920969
4774,120.52406743551416,-60.647389115498534,2.701333110489582,0.81211764,0.31784044792177113,11.838910235434174,20.625668,20.974571,19.409136
4775,118.56406111450377,-60.75418037522784,1.5295379002163632,0.606834,2.4866299504295197,12.184439044029578,20.485193,21.464428,19.322397
4776,118.63730226767267,-60.65162801385947,1.3596677680391396,0.27377298,-5.9470175928941895,7.2767012669444995,19.75759,21.147799,18.525167
4777,118.56885542623662,-60.997659649650075,2.302511324098422,0.07922355,-4.040982970117928,11.018352438869325,17.8828,19.334784,16.725418
4778,118.99447094520029,-60.44653356510141,1.0488935290542092,0.029249577,-7.869104316798893,21.879262818872864,16.026241,16.533327,15.362436
4779,120.59803926868148,-60.99694247338838,1.2627180788858647,0.064871326,-1.1732441650747367,1.8151731285681163,17.302286,18.180223,16.414272
4780,118.54075419108904,-60.818509029506544,1.7729589296514607,0.97698325,-0.22093432530098245,2.7933988485132013,20.712845,21.10505,19.937479
4781,120.5430137611321,-61.07488516410476,2.548980112982936,0.20862229,-4.901163887238124,10.174051474207188,19.278496,20.9686,18.043602
4782,118.64305554440753,-61.0958776111008,1.1783700026020618,0.42263132,4.296149234487964,15.719792648222642,20.21139,21.22586,19.041458
4783,119.99200388318928,-61.33734105431097,2.661142553116464,0.11506731,14.99071687116161,-24.593047521115263,18.437748,19.902416,17.307034
4784,118.54039558663662,-60.92296608182542,2.2656534386891405,0.35772797,-4.234851658543592,11.52447525249335,19.892265,21.525742,18.541605
4785,120.46551633747362,-61.14531493407698,2.4816545648145696,0.06501795,-5.803967266841727,11.598633568438327,14.940577,15.643923,14.10049
4786,120.15979576848123,-61.29437902165906,1.9232404027923746,0.6553246,-9.82942186085645,6.9441894222318465,20.567673,21.800827,19.488384
4787,118.95445574096982,-61.27708636043958,1.173314960163552,0.31991708,-0.34011983295483617,1.81635996098528,19.829666,20.303194,19.242855
4788,120.38152963166809,-61.200353890965545,2.5669689727844167,0.12214191,-35.289242983992864,20.280593786376393,18.557812,19.896162,17.39382
